,sura_num,sura_name,sura_hisab,sura_ayat
29,2,وإذ قال ربك للملئكة إنى جاعل فى الأرض خليفة قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال إنى أعلم ما لا تعلمون,1824035,6138
30,2,وعلم ءادم الأسماء كلها ثم عرضهم على الملئكة فقال أنبٔونى بأسماء هؤلاء إن كنتم صدقين,1824035,3562
31,2,قالوا سبحنك لا علم لنا إلا ما علمتنا إنك أنت العليم الحكيم,1824035,2006
32,2,قال ئادم أنبئهم بأسمائهم فلما أنبأهم بأسمائهم قال ألم أقل لكم إنى أعلم غيب السموت والأرض وأعلم ما تبدون وما كنتم تكتمون,1824035,6170
33,2,وإذ قلنا للملئكة اسجدوا لءادم فسجدوا إلا إبليس أبى واستكبر وكان من الكفرين,1824035,2744
34,2,وقلنا ئادم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظلمين,1824035,7270
35,2,فأزلهما الشيطن عنها فأخرجهما مما كانا فيه وقلنا اهبطوا بعضكم لبعض عدو ولكم فى الأرض مستقر ومتع إلى حين,1824035,6636
36,2,فتلقى ءادم من ربه كلمت فتاب عليه إنه هو التواب الرحيم,1824035,2847
37,2,قلنا اهبطوا منها جميعا فإما يأتينكم منى هدى فمن تبع هداى فلا خوف عليهم ولا هم يحزنون,1824035,3024
38,2,والذين كفروا وكذبوا بٔايتنا أولئك أصحب النار هم فيها خلدون,1824035,3575
39,2,يبنى إسرءيل اذكروا نعمتى التى أنعمت عليكم وأوفوا بعهدى أوف بعهدكم وإيى فارهبون,1824035,3834
40,2,وءامنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به ولا تشتروا بٔايتى ثمنا قليلا وإيى فاتقون,1824035,5170
41,2,ولا تلبسوا الحق بالبطل وتكتموا الحق وأنتم تعلمون,1824035,2854
42,2,وأقيموا الصلوة وءاتوا الزكوة واركعوا مع الركعين,1824035,1605
43,2,أتأمرون الناس بالبر وتنسون أنفسكم وأنتم تتلون الكتب أفلا تعقلون,1824035,4502
44,2,واستعينوا بالصبر والصلوة وإنها لكبيرة إلا على الخشعين,1824035,2630
45,2,الذين يظنون أنهم ملقوا ربهم وأنهم إليه رجعون,1824035,2804
46,2,يبنى إسرءيل اذكروا نعمتى التى أنعمت عليكم وأنى فضلتكم على العلمين,1824035,4822
47,2,واتقوا يوما لا تجزى نفس عن نفس شئا ولا يقبل منها شفعة ولا يؤخذ منها عدل ولا هم ينصرون,1824035,4599
48,2,وإذ نجينكم من ءال فرعون يسومونكم سوء العذاب يذبحون أبناءكم ويستحيون نساءكم وفى ذلكم بلاء من ربكم عظيم,1824035,6416
49,2,وإذ فرقنا بكم البحر فأنجينكم وأغرقنا ءال فرعون وأنتم تنظرون,1824035,5594
50,2,وإذ وعدنا موسى أربعين ليلة ثم اتخذتم العجل من بعده وأنتم ظلمون,1824035,5871
51,2,ثم عفونا عنكم من بعد ذلك لعلكم تشكرون,1824035,3009
52,2,وإذ ءاتينا موسى الكتب والفرقان لعلكم تهتدون,1824035,3262
53,2,وإذ قال موسى لقومه يقوم إنكم ظلمتم أنفسكم باتخاذكم العجل فتوبوا إلى بارئكم فاقتلوا أنفسكم ذلكم خير لكم عند بارئكم فتاب عليكم إنه هو التواب الرحيم,1824035,10157
54,2,وإذ قلتم يموسى لن نؤمن لك حتى نرى الله جهرة فأخذتكم الصعقة وأنتم تنظرون,1824035,6871
55,2,ثم بعثنكم من بعد موتكم لعلكم تشكرون,1824035,3060
56,2,وظللنا عليكم الغمام وأنزلنا عليكم المن والسلوى كلوا من طيبت ما رزقنكم وما ظلمونا ولكن كانوا أنفسهم يظلمون,1824035,6434
57,2,وإذ قلنا ادخلوا هذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطيكم وسنزيد المحسنين,1824035,8691
58,2,فبدل الذين ظلموا قولا غير الذى قيل لهم فأنزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون,1824035,7145
59,2,وإذ استسقى موسى لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشرة عينا قد علم كل أناس مشربهم كلوا واشربوا من رزق الله ولا تعثوا فى الأرض مفسدين,1824035,10300
60,2,وإذ قلتم يموسى لن نصبر على طعام وحد فادع لنا ربك يخرج لنا مما تنبت الأرض من بقلها وقثائها وفومها وعدسها وبصلها قال أتستبدلون الذى هو أدنى بالذى هو خير اهبطوا مصرا فإن لكم ما سألتم وضربت عليهم الذلة والمسكنة وباءو بغضب من الله ذلك بأنهم كانوا يكفرون بٔايت الله ويقتلون النبين بغير الحق ذلك بما عصوا وكانوا يعتدون,1824035,21231
61,2,إن الذين ءامنوا والذين هادوا والنصرى والصبٔين من ءامن بالله واليوم الءاخر وعمل صلحا فلهم أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون,1824035,5648
62,2,وإذ أخذنا ميثقكم ورفعنا فوقكم الطور خذوا ما ءاتينكم بقوة واذكروا ما فيه لعلكم تتقون,1824035,7867
63,2,ثم توليتم من بعد ذلك فلولا فضل الله عليكم ورحمته لكنتم من الخسرين,1824035,5875
64,2,ولقد علمتم الذين اعتدوا منكم فى السبت فقلنا لهم كونوا قردة خسٔين,1824035,4174
65,2,فجعلنها نكلا لما بين يديها وما خلفها وموعظة للمتقين,1824035,2953
66,2,وإذ قال موسى لقومه إن الله يأمركم أن تذبحوا بقرة قالوا أتتخذنا هزوا قال أعوذ بالله أن أكون من الجهلين,1824035,6670
67,2,قالوا ادع لنا ربك يبين لنا ما هى قال إنه يقول إنها بقرة لا فارض ولا بكر عوان بين ذلك فافعلوا ما تؤمرون,1824035,4738
68,2,قالوا ادع لنا ربك يبين لنا ما لونها قال إنه يقول إنها بقرة صفراء فاقع لونها تسر النظرين,1824035,4115
69,2,قالوا ادع لنا ربك يبين لنا ما هى إن البقر تشبه علينا وإنا إن شاء الله لمهتدون,1824035,2989
70,2,قال إنه يقول إنها بقرة لا ذلول تثير الأرض ولا تسقى الحرث مسلمة لا شية فيها قالوا الٔن جئت بالحق فذبحوها وما كادوا يفعلون,1824035,7490
71,2,وإذ قتلتم نفسا فادرٔتم فيها والله مخرج ما كنتم تكتمون,1824035,5071
72,2,فقلنا اضربوه ببعضها كذلك يحى الله الموتى ويريكم ءايته لعلكم تعقلون,1824035,5055
73,2,ثم قست قلوبكم من بعد ذلك فهى كالحجارة أو أشد قسوة وإن من الحجارة لما يتفجر منه الأنهر وإن منها لما يشقق فيخرج منه الماء وإن منها لما يهبط من خشية الله وما الله بغفل عما تعملون,1824035,9649
74,2,أفتطمعون أن يؤمنوا لكم وقد كان فريق منهم يسمعون كلم الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون,1824035,3577
75,2,وإذا لقوا الذين ءامنوا قالوا ءامنا وإذا خلا بعضهم إلى بعض قالوا أتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم أفلا تعقلون,1824035,8333
76,2,أولا يعلمون أن الله يعلم ما يسرون وما يعلنون,1824035,1141
77,2,ومنهم أميون لا يعلمون الكتب إلا أمانى وإن هم إلا يظنون,1824035,2222
78,2,فويل للذين يكتبون الكتب بأيديهم ثم يقولون هذا من عند الله ليشتروا به ثمنا قليلا فويل لهم مما كتبت أيديهم وويل لهم مما يكسبون,1824035,6933
79,2,وقالوا لن تمسنا النار إلا أياما معدودة قل أتخذتم عند الله عهدا فلن يخلف الله عهده أم تقولون على الله ما لا تعلمون,1824035,6319
80,2,بلى من كسب سيئة وأحطت به خطئته فأولئك أصحب النار هم فيها خلدون,1824035,3097
81,2,والذين ءامنوا وعملوا الصلحت أولئك أصحب الجنة هم فيها خلدون,1824035,2687
82,2,وإذ أخذنا ميثق بنى إسرءيل لا تعبدون إلا الله وبالولدين إحسانا وذى القربى واليتمى والمسكين وقولوا للناس حسنا وأقيموا الصلوة وءاتوا الزكوة ثم توليتم إلا قليلا منكم وأنتم معرضون,1824035,10458
83,2,وإذ أخذنا ميثقكم لا تسفكون دماءكم ولا تخرجون أنفسكم من ديركم ثم أقررتم وأنتم تشهدون,1824035,8176
84,2,ثم أنتم هؤلاء تقتلون أنفسكم وتخرجون فريقا منكم من ديرهم تظهرون عليهم بالإثم والعدون وإن يأتوكم أسرى تفدوهم وهو محرم عليكم إخراجهم أفتؤمنون ببعض الكتب وتكفرون ببعض فما جزاء من يفعل ذلك منكم إلا خزى فى الحيوة الدنيا ويوم القيمة يردون إلى أشد العذاب وما الله بغفل عما تعملون,1824035,18982
85,2,أولئك الذين اشتروا الحيوة الدنيا بالءاخرة فلا يخفف عنهم العذاب ولا هم ينصرون,1824035,5091
86,2,ولقد ءاتينا موسى الكتب وقفينا من بعده بالرسل وءاتينا عيسى ابن مريم البينت وأيدنه بروح القدس أفكلما جاءكم رسول بما لا تهوى أنفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون,1824035,9273
87,2,وقالوا قلوبنا غلف بل لعنهم الله بكفرهم فقليلا ما يؤمنون,1824035,2532
88,2,ولما جاءهم كتب من عند الله مصدق لما معهم وكانوا من قبل يستفتحون على الذين كفروا فلما جاءهم ما عرفوا كفروا به فلعنة الله على الكفرين,1824035,5532
89,2,بئسما اشتروا به أنفسهم أن يكفروا بما أنزل الله بغيا أن ينزل الله من فضله على من يشاء من عباده فباءو بغضب على غضب وللكفرين عذاب مهين,1824035,9846
90,2,وإذا قيل لهم ءامنوا بما أنزل الله قالوا نؤمن بما أنزل علينا ويكفرون بما وراءه وهو الحق مصدقا لما معهم قل فلم تقتلون أنبياء الله من قبل إن كنتم مؤمنين,1824035,5406
91,2,ولقد جاءكم موسى بالبينت ثم اتخذتم العجل من بعده وأنتم ظلمون,1824035,5325
92,2,وإذ أخذنا ميثقكم ورفعنا فوقكم الطور خذوا ما ءاتينكم بقوة واسمعوا قالوا سمعنا وعصينا وأشربوا فى قلوبهم العجل بكفرهم قل بئسما يأمركم به إيمنكم إن كنتم مؤمنين,1824035,9156
93,2,قل إن كانت لكم الدار الءاخرة عند الله خالصة من دون الناس فتمنوا الموت إن كنتم صدقين,1824035,4893
94,2,ولن يتمنوه أبدا بما قدمت أيديهم والله عليم بالظلمين,1824035,2547
95,2,ولتجدنهم أحرص الناس على حيوة ومن الذين أشركوا يود أحدهم لو يعمر ألف سنة وما هو بمزحزحه من العذاب أن يعمر والله بصير بما يعملون,1824035,5216
96,2,قل من كان عدوا لجبريل فإنه نزله على قلبك بإذن الله مصدقا لما بين يديه وهدى وبشرى للمؤمنين,1824035,3147
97,2,من كان عدوا لله وملئكته ورسله وجبريل وميكىل فإن الله عدو للكفرين,1824035,2174
98,2,ولقد أنزلنا إليك ءايت بينت وما يكفر بها إلا الفسقون,1824035,1938
99,2,أوكلما عهدوا عهدا نبذه فريق منهم بل أكثرهم لا يؤمنون,1824035,2532
100,2,ولما جاءهم رسول من عند الله مصدق لما معهم نبذ فريق من الذين أوتوا الكتب كتب الله وراء ظهورهم كأنهم لا يعلمون,1824035,6258
101,2,واتبعوا ما تتلوا الشيطين على ملك سليمن وما كفر سليمن ولكن الشيطين كفروا يعلمون الناس السحر وما أنزل على الملكين ببابل هروت ومروت وما يعلمان من أحد حتى يقولا إنما نحن فتنة فلا تكفر فيتعلمون منهما ما يفرقون به بين المرء وزوجه وما هم بضارين به من أحد إلا بإذن الله ويتعلمون ما يضرهم ولا ينفعهم ولقد علموا لمن اشترىه ما له فى الءاخرة من خلق ولبئس ما شروا به أنفسهم لو كانوا يعلمون,1824035,18509
102,2,ولو أنهم ءامنوا واتقوا لمثوبة من عند الله خير لو كانوا يعلمون,1824035,2744
103,2,يأيها الذين ءامنوا لا تقولوا رعنا وقولوا انظرنا واسمعوا وللكفرين عذاب أليم,1824035,4627
104,2,ما يود الذين كفروا من أهل الكتب ولا المشركين أن ينزل عليكم من خير من ربكم والله يختص برحمته من يشاء والله ذو الفضل العظيم,1824035,8995
105,2,ما ننسخ من ءاية أو ننسها نأت بخير منها أو مثلها ألم تعلم أن الله على كل شىء قدير,1824035,4536
106,2,ألم تعلم أن الله له ملك السموت والأرض وما لكم من دون الله من ولى ولا نصير,1824035,3304
107,2,أم تريدون أن تسٔلوا رسولكم كما سئل موسى من قبل ومن يتبدل الكفر بالإيمن فقد ضل سواء السبيل,1824035,4327
108,2,ود كثير من أهل الكتب لو يردونكم من بعد إيمنكم كفارا حسدا من عند أنفسهم من بعد ما تبين لهم الحق فاعفوا واصفحوا حتى يأتى الله بأمره إن الله على كل شىء قدير,1824035,6205
109,2,وأقيموا الصلوة وءاتوا الزكوة وما تقدموا لأنفسكم من خير تجدوه عند الله إن الله بما تعملون بصير,1824035,4255
110,2,وقالوا لن يدخل الجنة إلا من كان هودا أو نصرى تلك أمانيهم قل هاتوا برهنكم إن كنتم صدقين,1824035,3795
111,2,بلى من أسلم وجهه لله وهو محسن فله أجره عند ربه ولا خوف عليهم ولا هم يحزنون,1824035,2268
112,2,وقالت اليهود ليست النصرى على شىء وقالت النصرى ليست اليهود على شىء وهم يتلون الكتب كذلك قال الذين لا يعلمون مثل قولهم فالله يحكم بينهم يوم القيمة فيما كانوا فيه يختلفون,1824035,9523
113,2,ومن أظلم ممن منع مسجد الله أن يذكر فيها اسمه وسعى فى خرابها أولئك ما كان لهم أن يدخلوها إلا خائفين لهم فى الدنيا خزى ولهم فى الءاخرة عذاب عظيم,1824035,9164
114,2,ولله المشرق والمغرب فأينما تولوا فثم وجه الله إن الله وسع عليم,1824035,3749
115,2,وقالوا اتخذ الله ولدا سبحنه بل له ما فى السموت والأرض كل له قنتون,1824035,4541
116,2,بديع السموت والأرض وإذا قضى أمرا فإنما يقول له كن فيكون,1824035,4110
117,2,وقال الذين لا يعلمون لولا يكلمنا الله أو تأتينا ءاية كذلك قال الذين من قبلهم مثل قولهم تشبهت قلوبهم قد بينا الءايت لقوم يوقنون,1824035,7343
118,2,إنا أرسلنك بالحق بشيرا ونذيرا ولا تسٔل عن أصحب الجحيم,1824035,2874
119,2,ولن ترضى عنك اليهود ولا النصرى حتى تتبع ملتهم قل إن هدى الله هو الهدى ولئن اتبعت أهواءهم بعد الذى جاءك من العلم ما لك من الله من ولى ولا نصير,1824035,7134
120,2,الذين ءاتينهم الكتب يتلونه حق تلاوته أولئك يؤمنون به ومن يكفر به فأولئك هم الخسرون,1824035,4967
121,2,يبنى إسرءيل اذكروا نعمتى التى أنعمت عليكم وأنى فضلتكم على العلمين,1824035,4822
122,2,واتقوا يوما لا تجزى نفس عن نفس شئا ولا يقبل منها عدل ولا تنفعها شفعة ولا هم ينصرون,1824035,3798
123,2,وإذ ابتلى إبرهم ربه بكلمت فأتمهن قال إنى جاعلك للناس إماما قال ومن ذريتى قال لا ينال عهدى الظلمين,1824035,6193
124,2,وإذ جعلنا البيت مثابة للناس وأمنا واتخذوا من مقام إبرهم مصلى وعهدنا إلى إبرهم وإسمعيل أن طهرا بيتى للطائفين والعكفين والركع السجود,1824035,6763
125,2,وإذ قال إبرهم رب اجعل هذا بلدا ءامنا وارزق أهله من الثمرت من ءامن منهم بالله واليوم الءاخر قال ومن كفر فأمتعه قليلا ثم أضطره إلى عذاب النار وبئس المصير,1824035,9540
126,2,وإذ يرفع إبرهم القواعد من البيت وإسمعيل ربنا تقبل منا إنك أنت السميع العليم,1824035,4067
127,2,ربنا واجعلنا مسلمين لك ومن ذريتنا أمة مسلمة لك وأرنا مناسكنا وتب علينا إنك أنت التواب الرحيم,1824035,4722
128,2,ربنا وابعث فيهم رسولا منهم يتلوا عليهم ءايتك ويعلمهم الكتب والحكمة ويزكيهم إنك أنت العزيز الحكيم,1824035,4051
129,2,ومن يرغب عن ملة إبرهم إلا من سفه نفسه ولقد اصطفينه فى الدنيا وإنه فى الءاخرة لمن الصلحين,1824035,4113
130,2,إذ قال له ربه أسلم قال أسلمت لرب العلمين,1824035,2330
131,2,ووصى بها إبرهم بنيه ويعقوب يبنى إن الله اصطفى لكم الدين فلا تموتن إلا وأنتم مسلمون,1824035,2955
132,2,أم كنتم شهداء إذ حضر يعقوب الموت إذ قال لبنيه ما تعبدون من بعدى قالوا نعبد إلهك وإله ءابائك إبرهم وإسمعيل وإسحق إلها وحدا ونحن له مسلمون,1824035,6373
133,2,تلك أمة قد خلت لها ما كسبت ولكم ما كسبتم ولا تسٔلون عما كانوا يعملون,1824035,3826
134,2,وقالوا كونوا هودا أو نصرى تهتدوا قل بل ملة إبرهم حنيفا وما كان من المشركين,1824035,2909
135,2,قولوا ءامنا بالله وما أنزل إلينا وما أنزل إلى إبرهم وإسمعيل وإسحق ويعقوب والأسباط وما أوتى موسى وعيسى وما أوتى النبيون من ربهم لا نفرق بين أحد منهم ونحن له مسلمون,1824035,4383
136,2,فإن ءامنوا بمثل ما ءامنتم به فقد اهتدوا وإن تولوا فإنما هم فى شقاق فسيكفيكهم الله وهو السميع العليم,1824035,4091
137,2,صبغة الله ومن أحسن من الله صبغة ونحن له عبدون,1824035,2912
138,2,قل أتحاجوننا فى الله وهو ربنا وربكم ولنا أعملنا ولكم أعملكم ونحن له مخلصون,1824035,2885
139,2,أم تقولون إن إبرهم وإسمعيل وإسحق ويعقوب والأسباط كانوا هودا أو نصرى قل ءأنتم أعلم أم الله ومن أظلم ممن كتم شهدة عنده من الله وما الله بغفل عما تعملون,1824035,7137
140,2,تلك أمة قد خلت لها ما كسبت ولكم ما كسبتم ولا تسٔلون عما كانوا يعملون,1824035,3826
141,2,سيقول السفهاء من الناس ما ولىهم عن قبلتهم التى كانوا عليها قل لله المشرق والمغرب يهدى من يشاء إلى صرط مستقيم,1824035,5646
142,2,وكذلك جعلنكم أمة وسطا لتكونوا شهداء على الناس ويكون الرسول عليكم شهيدا وما جعلنا القبلة التى كنت عليها إلا لنعلم من يتبع الرسول ممن ينقلب على عقبيه وإن كانت لكبيرة إلا على الذين هدى الله وما كان الله ليضيع إيمنكم إن الله بالناس لرءوف رحيم,1824035,10176
143,2,قد نرى تقلب وجهك فى السماء فلنولينك قبلة ترضىها فول وجهك شطر المسجد الحرام وحيث ما كنتم فولوا وجوهكم شطره وإن الذين أوتوا الكتب ليعلمون أنه الحق من ربهم وما الله بغفل عما يعملون,1824035,9876
144,2,ولئن أتيت الذين أوتوا الكتب بكل ءاية ما تبعوا قبلتك وما أنت بتابع قبلتهم وما بعضهم بتابع قبلة بعض ولئن اتبعت أهواءهم من بعد ما جاءك من العلم إنك إذا لمن الظلمين,1824035,11161
145,2,الذين ءاتينهم الكتب يعرفونه كما يعرفون أبناءهم وإن فريقا منهم ليكتمون الحق وهم يعلمون,1824035,4284
146,2,الحق من ربك فلا تكونن من الممترين,1824035,1949
147,2,ولكل وجهة هو موليها فاستبقوا الخيرت أين ما تكونوا يأت بكم الله جميعا إن الله على كل شىء قدير,1824035,4249
148,2,ومن حيث خرجت فول وجهك شطر المسجد الحرام وإنه للحق من ربك وما الله بغفل عما تعملون,1824035,5368
149,2,ومن حيث خرجت فول وجهك شطر المسجد الحرام وحيث ما كنتم فولوا وجوهكم شطره لئلا يكون للناس عليكم حجة إلا الذين ظلموا منهم فلا تخشوهم واخشونى ولأتم نعمتى عليكم ولعلكم تهتدون,1824035,11839
150,2,كما أرسلنا فيكم رسولا منكم يتلوا عليكم ءايتنا ويزكيكم ويعلمكم الكتب والحكمة ويعلمكم ما لم تكونوا تعلمون,1824035,4378
151,2,فاذكرونى أذكركم واشكروا لى ولا تكفرون,1824035,3415
152,2,يأيها الذين ءامنوا استعينوا بالصبر والصلوة إن الله مع الصبرين,1824035,2618
153,2,ولا تقولوا لمن يقتل فى سبيل الله أموت بل أحياء ولكن لا تشعرون,1824035,3161
154,2,ولنبلونكم بشىء من الخوف والجوع ونقص من الأمول والأنفس والثمرت وبشر الصبرين,1824035,4210
155,2,الذين إذا أصبتهم مصيبة قالوا إنا لله وإنا إليه رجعون,1824035,2866
156,2,أولئك عليهم صلوت من ربهم ورحمة وأولئك هم المهتدون,1824035,1980
157,2,إن الصفا والمروة من شعائر الله فمن حج البيت أو اعتمر فلا جناح عليه أن يطوف بهما ومن تطوع خيرا فإن الله شاكر عليم,1824035,5363
158,2,إن الذين يكتمون ما أنزلنا من البينت والهدى من بعد ما بينه للناس فى الكتب أولئك يلعنهم الله ويلعنهم اللعنون,1824035,3952
159,2,إلا الذين تابوا وأصلحوا وبينوا فأولئك أتوب عليهم وأنا التواب الرحيم,1824035,2939
160,2,إن الذين كفروا وماتوا وهم كفار أولئك عليهم لعنة الله والملئكة والناس أجمعين,1824035,2844
161,2,خلدين فيها لا يخفف عنهم العذاب ولا هم ينظرون,1824035,3858
162,2,وإلهكم إله وحد لا إله إلا هو الرحمن الرحيم,1824035,884
163,2,إن فى خلق السموت والأرض واختلف اليل والنهار والفلك التى تجرى فى البحر بما ينفع الناس وما أنزل الله من السماء من ماء فأحيا به الأرض بعد موتها وبث فيها من كل دابة وتصريف الريح والسحاب المسخر بين السماء والأرض لءايت لقوم يعقلون,1824035,13044
164,2,ومن الناس من يتخذ من دون الله أندادا يحبونهم كحب الله والذين ءامنوا أشد حبا لله ولو يرى الذين ظلموا إذ يرون العذاب أن القوة لله جميعا وأن الله شديد العذاب,1824035,9237
165,2,إذ تبرأ الذين اتبعوا من الذين اتبعوا ورأوا العذاب وتقطعت بهم الأسباب,1824035,6083
166,2,وقال الذين اتبعوا لو أن لنا كرة فنتبرأ منهم كما تبرءوا منا كذلك يريهم الله أعملهم حسرت عليهم وما هم بخرجين من النار,1824035,6870
167,2,يأيها الناس كلوا مما فى الأرض حللا طيبا ولا تتبعوا خطوت الشيطن إنه لكم عدو مبين,1824035,4179
168,2,إنما يأمركم بالسوء والفحشاء وأن تقولوا على الله ما لا تعلمون,1824035,2374
169,2,وإذا قيل لهم اتبعوا ما أنزل الله قالوا بل نتبع ما ألفينا عليه ءاباءنا أولو كان ءاباؤهم لا يعقلون شئا ولا يهتدون,1824035,3960
170,2,ومثل الذين كفروا كمثل الذى ينعق بما لا يسمع إلا دعاء ونداء صم بكم عمى فهم لا يعقلون,1824035,4393
171,2,يأيها الذين ءامنوا كلوا من طيبت ما رزقنكم واشكروا لله إن كنتم إياه تعبدون,1824035,3652
172,2,إنما حرم عليكم الميتة والدم ولحم الخنزير وما أهل به لغير الله فمن اضطر غير باغ ولا عاد فلا إثم عليه إن الله غفور رحيم,1824035,9388
173,2,إن الذين يكتمون ما أنزل الله من الكتب ويشترون به ثمنا قليلا أولئك ما يأكلون فى بطونهم إلا النار ولا يكلمهم الله يوم القيمة ولا يزكيهم ولهم عذاب أليم,1824035,6133
174,2,أولئك الذين اشتروا الضللة بالهدى والعذاب بالمغفرة فما أصبرهم على النار,1824035,5724
175,2,ذلك بأن الله نزل الكتب بالحق وإن الذين اختلفوا فى الكتب لفى شقاق بعيد,1824035,4766
176,2,ليس البر أن تولوا وجوهكم قبل المشرق والمغرب ولكن البر من ءامن بالله واليوم الءاخر والملئكة والكتب والنبين وءاتى المال على حبه ذوى القربى واليتمى والمسكين وابن السبيل والسائلين وفى الرقاب وأقام الصلوة وءاتى الزكوة والموفون بعهدهم إذا عهدوا والصبرين فى البأساء والضراء وحين البأس أولئك الذين صدقوا وأولئك هم المتقون,1824035,13972
177,2,يأيها الذين ءامنوا كتب عليكم القصاص فى القتلى الحر بالحر والعبد بالعبد والأنثى بالأنثى فمن عفى له من أخيه شىء فاتباع بالمعروف وأداء إليه بإحسن ذلك تخفيف من ربكم ورحمة فمن اعتدى بعد ذلك فله عذاب أليم,1824035,11902
178,2,ولكم فى القصاص حيوة يأولى الألبب لعلكم تتقون,1824035,1796
